"X"	"text"	"coref."	"correction."	"pos."	"X.1"	"trans."	"combo"
"1"	4516	"#RT USER | RT USER: Chelsea Manning is Free! Send her a letter of love and celebration by signing ‚Ä¶ https://t.co/0MYnyc0T65"	1	NA	1	0.313432836	"no"	"she-Chelsea"
"2"	3814	"#RT USER | Sign this note for Chelsea Manning, #CodePink will deliver it to her next week! https://t.co/bhL5CvqYFk #ChelseaFree‚Ä¶"	1	NA	1	NA	"no"	"she-Chelsea"
"3"	7072	"#ThankYouObama for caring about the civil rights of treasonous Chelsea Manning, and not about the people who may have died bc of her actions"	1	NA	-1	NA	"no"	"she-Chelsea"
"4"	7563	" USER Has there been any word when/where Chelsea Manning will be transferred to begin her \"community transition\" process?"	1	NA	0	NA	"no"	"she-Chelsea"
"5"	2973	"USER Chelsea Manning spent 7 years is mostly solitary confinement. He didn't pardon her he shortened her sentence."	1	NA	0	NA	"no"	"she-Chelsea"
"6"	8560	"USER Chelsea Manning became world famous in 2010. Why has this damning story about her 2007 basic training gone untold until now?"	1	NA	0	NA	"no"	"she-Chelsea"
"7"	7905	"USER Chelsea Manning is a hero, and history will remember her as such. Releasing her in May is"	1	NA	1	NA	"no"	"she-Chelsea"
"8"	7521	"USER What Chelsea Manning did was heroic. She exposed unethical actions in government. She is a hero."	1	NA	1	NA	"no"	"she-Chelsea"
"9"	7998	"USER Chelsea Manning can change her name legally but he is still a man"	1	1	0	NA	"yes"	"she-Chelsea"
"10"	1146	"USER Please don't refer to Chelsea Manning as \"him\", she is a \"her\" #tytlive"	1	1	0	NA	"yes"	"she-Chelsea"
"11"	4436	"USER that's what Chelsea Manning leaked to Wikileaks and why she was arrested"	1	NA	0	NA	"no"	"she-Chelsea"
"12"	3104	"USER Another pro: commuting Chelsea Manning's sentence
Another con: the fact she never should have been locked up in the 1st place"	1	NA	1	NA	"no"	"she-Chelsea"
"13"	1282	"USER Chelsea Manning is not silenced. She writes op-eds USERguardian, blogs USERMedium, tweets USERxychelsea, inter‚Ä¶ https://t.co/7mC9xDKF0p"	1	NA	0	NA	"no"	"she-Chelsea"
"14"	9595	"USER I made a gif the other day in honor of Chelsea Manning getting her sentence commuted. I was told I shou‚Ä¶ https://t.co/7lc6jw3LP1"	1	NA	1	NA	"no"	"she-Chelsea"
"15"	8683	"USER Chelsea Manning at the end of 4 months will receive her well-earned Dishonorable Discharge from USERUSArmy‚Ä¶ https://t.co/tmhRfkRLr5"	1	NA	-1	NA	"no"	"she-Chelsea"
"16"	2021	"USERPOTUS and thank you for pardoning Chelsea Manning, I believe she was worthy of this Mr President.  You always did the right thing!"	1	NA	1	NA	"no"	"she-Chelsea"
"17"	8826	"USER chelsea manning is a woman. and no deaths were caused as a result of the intel she leaked"	1	NA	1	NA	"yes"	"she-Chelsea"
"18"	7439	"USER USERrealDonaldTrump   I started thinking about Chelsea Manning &amp; Obama letting her have a sex change in prison another experiment?"	1	NA	0	NA	"yes"	"she-Chelsea"
"19"	6507	"USER In Chelsea Manning's case parole was out of question. She twice committed serious infractions of USDB rules."	1	NA	-1	NA	"no"	"she-Chelsea"
"20"	6431	"USER Tell that to Chelsea Manning's lawyers. They were frantic that Obama's clemency was her last chance, &amp; held out no hope for parole."	1	NA	0	NA	"no"	"she-Chelsea"
"21"	1234	"USER the article about Chelsea Manning why is Obama shortening her sentence? She did leaked classified documents and that's wrong"	1	NA	-1	NA	"no"	"she-Chelsea"
"22"	2424	"USER What is your problem with Chelsea Manning? Don't like being informed about corruption? She fought for your family, show respect."	1	NA	1	NA	"no"	"she-Chelsea"
"23"	7163	"USER And Chelsea Manning was born a woman. It just took her time to realize it. That's how it works. USERFoxNews"	1	NA	1	NA	"yes"	"she-Chelsea"
"24"	8366	"USER It will be interesting to see if Chelsea Manning echoes your anti-Obama invective, which risks making her seem like an ingrate."	1	NA	0	NA	"no"	"she-Chelsea"
"25"	1092	"As a final f**k you to the country, Obama commuted Chelsea  Manning's sentence so she could have a \"chance at a real meaningful life.\""	1	NA	-1	NA	"no"	"she-Chelsea"
"26"	2368	"'Barack Obama will leave Washington having saved Chelsea Manning's life.' he's the one that put her in danger in the first place."	1	NA	1	NA	"no"	"she-Chelsea"
"27"	6872	"BREAKING: President Obama commutes Chelsea Manning's sentence! She will be released from prison in May.‚Ä¶ https://t.co/6WbMnVgB8q by ACLU"	1	NA	0	NA	"no"	"she-Chelsea"
"28"	2374	"bullshit. b u l l s h i t. he's the one that put chelsea manning in a male-only where she was deprived and tortured. https://t.co/ErIkbmiGDd"	1	NA	1	NA	"yes"	"she-Chelsea"
"29"	2531	"Cannot stand seeing centrist liberals act as if they've been championing Chelsea Manning for years. You were calling her a traitor!"	1	NA	1	NA	"no"	"she-Chelsea"
"30"	8178	"Comey should take over Chelsea Manning's current residence as soon as she moves out. https://t.co/TlzrtbttSk"	1	NA	0	NA	"no"	"she-Chelsea"
"31"	1075	"Congrats to our litigator of the week Nancy Hollander, who won Chelsea Manning her freedom https://t.co/cOMTkQcDe0"	1	NA	1	NA	"no"	"she-Chelsea"
"32"	1228	"everyone was also nutting about the fact that he commuted chelsea manning's prison sentence as if he wasn't the one that put her there"	1	NA	1	NA	"no"	"she-Chelsea"
"33"	261	"I applaud Chelsea Manning's sentence being commuted but for Greg Barnes to say all she did was tell the truth is a crap defence..."	1	NA	1	NA	"no"	"she-Chelsea"
"34"	3342	"I fought for Chelsea Manning because she stood up for all trans people | Evan Greer | Opinion | The Guardian https://t.co/wtbSt0pSP0"	1	NA	1	NA	"yes"	"she-Chelsea"
"35"	8504	"I just don't agree on the Chelsea manning case she put our national security at risk leaking those military docs. She needed the max 15."	1	NA	-1	NA	"no"	"she-Chelsea"
"36"	6738	"I mean he condoned the torture of Chelsea Manning and put her in a male prison but hey, thanks https://t.co/74QZoIstFS"	1	NA	1	NA	"yes"	"she-Chelsea"
"37"	8778	"Just saw Chelsea Manning's recent tweet thanking Obama for springing her loose. Considering her charges, how does she have Internet access?"	1	NA	0	NA	"no"	"she-Chelsea"
"38"	1696	"Leading Free Chelsea Manning campaigner reflects on what her release means for democracy https://t.co/CHdJQgS3z4 https://t.co/CgdjdwuuTn"	1	NA	0	NA	"no"	"she-Chelsea"
"39"	1088	"Litigator of the Week: The Lawyer Who Won Chelsea Manning Her Freedom USER https://t.co/tz4Nh0B1qz"	1	NA	0	NA	"no"	"she-Chelsea"
"40"	6226	"Not only did USERPotus commute Chelsea Manning's sentence, he also promised her a new wardrobe and makeover! https://t.co/Ji3qmcBlXh"	1	NA	0	NA	"yes"	"she-Chelsea"
"41"	9546	"Now the question is, if Chelsea Manning wasn't transgender, would O still have commuted her sentence? I think it's a political statement"	1	NA	-1	NA	"yes"	"she-Chelsea"
"42"	2739	"Obama grants Wikileaks whistleblower Chelsea Manning her freedom https://t.co/qmAJMM4nGN https://t.co/Pjf7SYLX5i"	1	NA	0	NA	"no"	"she-Chelsea"
"43"	4908	"Obama isn‚Äôt pardoning Chelsea Manning, which would send a bad message. He‚Äôs just letting her out of prison."	1	NA	0	NA	"no"	"she-Chelsea"
"44"	764	"obama personally freed chelsea manning under the condition that she join her brothers in the NFL"	1	NA	0	NA	"yes"	"she-Chelsea"
"45"	9418	"Obama: Chelsea Manning‚Äôs Leaks Were Commutable But Not If She Hacked the... https://t.co/2djvbY5Qxl via USERYouTube"	1	NA	0	NA	"no"	"she-Chelsea"
"46"	7195	"Obama's decision regarding Chelsea Manning was made out of empathy for Manning and her plight, maybe Obama wants to be a Woman? #MAGA"	1	NA	0	NA	"yes"	"she-Chelsea"
"47"	2191	"oh &amp; sure he commuted chelsea manning's sentence, but don't forget he allowed her to be tortured for months &amp; get placed in a men's prison ‚ú®"	1	NA	1	NA	"yes"	"she-Chelsea"
"48"	6995	"President Obama's Commutation of Chelsea Manning's Sentence Most Likely Saved Her Life https://t.co/iEh0eWiddx via USERaclu"	1	NA	1	NA	"no"	"she-Chelsea"
"49"	5573	"Releasing Chelsea Manning back into the world just as her job becomes automated is actually the perfect way to round out this presidency"	1	NA	0	NA	"no"	"she-Chelsea"
"50"	3858	"RT USER: Can we just appreciate that President Daddy tortured Chelsea Manning &amp; put her in a men's pri‚Ä¶ https://t.co/byp7G4fY48"	1	NA	1	NA	"yes"	"she-Chelsea"
"51"	4204	"Sign this note for Chelsea Manning, #CodePink will deliver it to her next week! https://t.co/IdVfFHgJym #ChelseaFree"	1	NA	1	NA	"no"	"she-Chelsea"
"52"	9766	"Since Chelsea Manning's sentence has been commuted I'm going to ask her to give makeup tips to Ruth Bader Ginsburg; i can't even look at her"	1	NA	0	NA	"yes"	"she-Chelsea"
"53"	5364	"Thank you Pres Obama USERPOTUS for compassion for USERxychelsea Chelsea Manning, putting an end to her cruel and unusual punishment."	1	NA	1	NA	"no"	"she-Chelsea"
"54"	107	"That's the Best Defense? Obama said Chelsea Manning's Sentence was Commuted because She had Suffered Enough‚Ä¶ https://t.co/2MBIgl0xEg"	1	NA	0	NA	"no"	"she-Chelsea"
"55"	8181	"The Army have said Chelsea Manning will lose her military healthcare benefits following President Barack Obama‚Äôs... https://t.co/8mWsWOJkY6"	1	NA	0	NA	"yes"	"she-Chelsea"
"56"	2680	"the boys at my table are talking about chelsea manning and said she should be in jail for life or executed. cool nice. love this school."	1	NA	1	NA	"no"	"she-Chelsea"
"57"	6935	"The treatment of Chelsea Manning is another in Barack Obama's poor legacy on human rights.  She is reported to... https://t.co/jMMKdTxQ6J"	1	NA	1	NA	"yes"	"she-Chelsea"
"58"	1755	"They didn't say Putin manipulated anything did they snowflake!!! Ask Chelsea manning if she knows. She may have tol‚Ä¶ https://t.co/yT6NwcLX58"	1	NA	0	NA	"no"	"she-Chelsea"
"59"	5648	"Think about Obama commuting Chelsea Manning‚Äôs sentence, after she leaked info that embarrassed his administration."	1	NA	0	NA	"no"	"she-Chelsea"
"60"	2033	"This is what mass torturer Obama did to Chelsea Manning, years before he commuted her sentence https://t.co/C8TdfgJU56"	1	NA	1	NA	"no"	"she-Chelsea"
"61"	7603	"This made it sound like I'm defending Chelsea Manning. I'm not. She should be in jail."	1	NA	-1	NA	"no"	"she-Chelsea"
"62"	5903	"Trump is 'troubled' by Chelsea Manning commutation as a JD Sports door slammed shut on her back."	1	NA	0	NA	"no"	"she-Chelsea"
"63"	5201	"Update on my site: USER:

mood: Chelsea manning dotting the I in her signature with a heart https://t.co/CIBYkT0Bs5"	1	NA	1	NA	"no"	"she-Chelsea"
"64"	8764	"Welcome Chelsea Manning‚Äôs Scheduled Release from Prison. Condemn Her Outrageous Seven-Year Imprisonment https://t.co/HVavRYueAR"	1	NA	1	NA	"no"	"she-Chelsea"
"65"	6509	"When Chelsea Manning's parents pick her up after release from prison #BikiniBottomTwitter https://t.co/lpf0KcUGfm"	1	NA	0	NA	"no"	"she-Chelsea"
"66"	1988	"Who is Chelsea Manning? And why did she deserve a last act of kindness from Obama? #ChelseaManning #TIE
https://t.co/dV23jVqE4K"	1	NA	0	NA	"no"	"she-Chelsea"
"67"	1960	"Write to Chelsea Manning I mean, not do my tax return. Her address is here; https://t.co/R4p4ZY2JOZ"	1	NA	1	NA	"no"	"she-Chelsea"
"68"	421	"USER By chance do you know USER?  She deleted her account the day Chelsea Manning got commutation.  Ì†æÌ¥î #ChelseaFree"	0	NA	NA	NA	"no"	"she-Chelsea"
"69"	1504	"USER Time to reveal to the world what her and Chelsea manning have in common"	0	NA	NA	NA	"no"	"she-Chelsea"
"70"	1862	"USER True that. I bet she could be a great whistleblower though. Join the group with Ed Snowden and Chelsea Manning."	0	NA	NA	NA	"no"	"she-Chelsea"
"71"	4265	"Antifascist radfem stumbling over her timeline trying to justify Chelsea Manning's treatment on the basis of cissexism"	0	NA	NA	NA	"yes"	"she-Chelsea"
"72"	9956	"Discredited Former New York Times Reporter Disregards Her Own Record While Smearing Chelsea Manning (from USERUSER) https://t.co/1E43ElaymH"	0	NA	NA	NA	"no"	"she-Chelsea"
"73"	7651	"No One Expected Judge Judy To Rip Obama Over Chelsea Manning -- But She Just Did https://t.co/dQsoqNK3ec"	0	NA	NA	NA	"no"	"she-Chelsea"
"74"	3092	"No pardon for USERHillaryClinton  (yet). I guess Obama really dislikes her more than Chelsea Manning."	0	NA	NA	NA	"no"	"she-Chelsea"
"75"	1160	"USER it's now Chelsea Manning not Bradley Manning, the guy had gender reassignment surgery. So now he is a she"	1	1	0	-0.333333333	"yes"	"he-Chelsea"
"76"	8056	"#ThankYouObama for pardoning Bradley Manning after he became Chelsea Manning. Thx, society really needed that. https://t.co/cvZ1xpDlIT"	1	NA	-1	NA	"yes"	"he-Chelsea"
"77"	7998	"USER Chelsea Manning can change her name legally but he is still a man"	1	NA	0	NA	"yes"	"he-Chelsea"
"78"	2053	"USER Were you as exercised about Scooter Libby as you are about Chelsea Manning? He and Rove outed a current CIA operative. Crickets"	1	NA	0	NA	"no"	"he-Chelsea"
"79"	2509	"USER USERPOTUS and Chelsea Manning did (just 1 example)? Regret for his actions? Thats a major assumption on your part."	1	NA	-1	NA	"no"	"he-Chelsea"
"80"	2031	"USER USERBarackObama OMG! I Didn't know he was going to change into chelsea manning!"	1	NA	0	NA	"yes"	"he-Chelsea"
"81"	2728	"USERtedcruz there should be a petition started 2 overturn Obama's order 2 release Chelsea Manning he committed treason &amp; turned on the military"	1	NA	-1	NA	"no"	"he-Chelsea"
"82"	8358	"USER is his name Chelsea Manning?"	1	NA	0	NA	"no"	"he-Chelsea"
"83"	1227	"As for Brad &amp; Chelsea Manning I submit people WERE killed or harmed by his treason.Miltary is against pardon. Why?:https://t.co/jRRD9kB0UK"	1	NA	-1	NA	"no"	"he-Chelsea"
"84"	7624	"If Chelsea Manning had been caught leaking DNC emails to Assange would Obama have commuted his sentence? Ì†æÌ¥î

(I say no way)"	1	NA	0	NA	"no"	"he-Chelsea"
"85"	7032	"In the 1960's we had the Spencer Davis Group singing \"I'm a Man\" now we get Chelsea Manning wanting to whack his weiner off."	1	NA	-1	NA	"yes"	"he-Chelsea"
"86"	2870	"Let's not kid ourselves if Bradley Manning didnt do the whole Chelsea thing he wouldn't have been commuted.  Obama is a narrative president."	1	NA	-1	NA	"yes"	"he-Chelsea"
"87"	9599	"Ms Reed, Chelsea Manning was not a whistle-blower, he is a TRAITOR!
https://t.co/i6tEAk1ZgL #tcot #pjnet #ccot #hardball #inners #CNN"	1	NA	-1	NA	"no"	"he-Chelsea"
"88"	5712	"Obama sent Chelsea Manning to a Male prison but he is noe getting applauded for pardoning him/her SMH
#freeSnowden"	1	NA	1	NA	"yes"	"he-Chelsea"
"89"	3651	"Oh No. Chelsea Manning is going to lose his transgender health benefits when he is discharged from the Army. Is this fair?"	1	NA	1	NA	"yes"	"he-Chelsea"
"90"	2099	"Wonder if they'd do the same thing to Chelsea Manning if he were trying to get through. https://t.co/rTTY0oI9uB"	1	NA	0	NA	"no"	"he-Chelsea"
"91"	9114	"\"The left needs to stop making this Chelsea Manning issue political\" says Extremely Holding A Fish In His Twitter Avatar Man"	0	NA	NA	NA	"no"	"he-Chelsea"
"92"	6905	"#culture Barack Obama Doesn‚Äôt Get A Pass On His Abuse Of Chelsea Manning https://t.co/0nbdTERUet"	0	NA	NA	NA	"no"	"he-Chelsea"
"93"	2108	"#On his way out, Obama has commuted the rest of Chelsea Manning‚Äôs sentence https://t.co/SK0xRqqbLh https://t.co/CoX78XS553 #NEWS"	0	NA	NA	NA	"no"	"he-Chelsea"
"94"	6956	"#popculture  Barack Obama Doesn‚Äôt Get A Pass On His Abuse Of Chelsea Manning  https://t.co/xqjNpgjPaX"	0	NA	NA	NA	"no"	"he-Chelsea"
"95"	9444	"#TYTLive Trump will take credit for Chelsea Manning. He'll say he would've done it if Obama didn't. Along those lines..."	0	NA	NA	NA	"no"	"he-Chelsea"
"96"	6924	"#usanews Barack Obama Doesn‚Äôt Get A Pass On His Abuse Of Chelsea Manning https://t.co/cQZxs4d4V5"	0	NA	NA	NA	"no"	"he-Chelsea"
"97"	2277	"USER  And you use a picture of Chelsea Manning to express this? The whistleblower he chose to destroy"	0	NA	NA	NA	"no"	"he-Chelsea"
"98"	2973	"USER Chelsea Manning spent 7 years is mostly solitary confinement. He didn't pardon her he shortened her sentence."	0	NA	NA	NA	"no"	"he-Chelsea"
"99"	3503	"USER forgotten what he did to Chelsea Manning?"	0	NA	NA	NA	"no"	"he-Chelsea"
"100"	1145	"USER well like I saw you judge him for what he did with Chelsea manning but in the grand scheme, he had a reason"	0	NA	NA	NA	"no"	"he-Chelsea"
"101"	2417	"USER while he gets lots of peace prizes for releasing chelsea manning and putting a rainbow flag on the white house  Ì†ΩÌ∏çÌ†ΩÌ∏çÌ†ΩÌ∏ç"	0	NA	NA	NA	"yes"	"he-Chelsea"
"102"	8652	"USERs Set him straight on Chelsea Manning."	0	NA	NA	NA	"no"	"he-Chelsea"
"103"	2985	"USER  He leaves behind a weak administration. Letting Chelsea Manning off was the worst ....not a true American."	0	NA	NA	NA	"no"	"he-Chelsea"
"104"	9355	"USER won't dare mention the US war crimes that Chelsea Manning revealed, he plays anti-trans card instead https://t.co/e0YZAA5te0"	0	NA	NA	NA	"yes"	"he-Chelsea"
